Day,Sales,Trading Profit,Operating Expense,Net Profit
0,0,0,0,0
1,0,0,12600,-12600
2,0,0,156560,-156560
3,0,0,184630,-184630
4,0,0,214700,-214700
5,0,0,242770,-242770
6,25550,6124,272840,-266716
7,52675,12626,287510,-274884
8,78500,18816,315580,-296764
9,104324,24188,343650,-319462
10,1498140,357684,372692,-15008
11,1653229,384611,415782,-31171
12,3047980,558044,442589,115455
13,3232564,619628,628877,-9249
14,3388396,657553,675776,-18223
15,3621228,868722,724355,144367
16,3647628,875147,771667,103480
17,3674748,882325,820769,61556
18,3702396,889644,873551,16093
19,3724764,895566,1032342,-136776
20,3724764,895566,1060836,-165270
21,3724764,895566,1062836,-167270
22,3974864,1145666,1075506,70160
23,3974864,1145666,1133898,11768
24,3974864,1145666,1183909,-38243
25,4006351,1155660,1248217,-92557
26,4037999,1165713,1332420,-166707
27,4100444,1179093,1391622,-212529
28,4129886,1186500,1451426,-264926
29,4192953,1202124,1511908,-309784
30,4858797,1247822,1569042,-321220
31,4909952,1259344,2046011,-786667
32,4960992,1269437,2106406,-836969
33,5539448,1304423,2187716,-883293
34,5592526,1314864,2316949,-1002085
35,5644366,1325091,2365089,-1039998
36,6947703,1443680,2420382,-976702
37,7293817,1535185,2491817,-956632
38,7522581,1579598,2539510,-959912
39,7951137,1692270,2583504,-891234
40,8003070,1707119,2630938,-923819
41,8422070,1754362,2689600,-935238
42,8473832,1767797,2732782,-964985
43,8521959,1778717,2790550,-1011833
44,8578347,1790326,2835598,-1045272
45,8635876,1802244,2885766,-1083522
46,8687183,1812852,2974807,-1161955
47,9293112,1900489,3005020,-1104531
48,9321646,1906818,3042247,-1135429
49,9349400,1912890,3119542,-1206652
50,9377528,1917784,3149226,-1231442
51,9432261,1927512,3185335,-1257823
52,10163538,2081372,3238188,-1156816
53,10387452,2126007,3290397,-1164390
54,10412754,2131027,3357631,-1226604
55,10521397,2153641,3429930,-1276289
56,10645197,2215696,3485888,-1270192
57,10758933,2273015,3598760,-1325745
58,10899977,2343920,3709207,-1365287
59,10946362,2366888,3763654,-1396766
60,10992656,2389539,3835469,-1445930
61,11036510,2411049,3949407,-1538358
62,11067850,2426531,4015949,-1589418
63,11102203,2443512,4067491,-1623979
64,11143035,2463830,4140954,-1677124
65,11207212,2494240,4229824,-1735584
66,11350520,2603355,4303714,-1700359
67,11418180,2637102,4444136,-1807034
68,11481186,2668264,4498680,-1830416
69,11546446,2700628,4553224,-1852596
70,11610052,2732270,4640524,-1908254
71,11672386,2763083,4709323,-1946240
72,11758804,2804526,4778063,-1973537
73,11852918,2844809,4831703,-1986894
74,11912924,2874136,4885027,-2010891
75,11974981,2904898,4938392,-2033494
76,12069569,2945956,4991757,-2045801
77,12133732,2977765,5032147,-2054382
78,12509902,3176260,5086318,-1910058
79,12878101,3366617,5158179,-1791562
80,14176838,3728587,5285554,-1556967
81,14554734,3937761,5338955,-1401194
82,14935482,4139605,5391292,-1251687
83,14999457,4173852,5443662,-1269810
84,15730957,4314143,5511136,-1196993
85,15842732,4369185,5562725,-1193540
86,16804372,4714452,5612922,-898470
87,16867472,4749733,5663361,-913628
88,16966141,4792283,5714034,-921751
89,17178689,4859116,5764649,-905533
90,17231665,4881231,5814891,-933660
